"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1001","S","A2101480","Apartment","Beltline","01/27/2024","$315,000.00","$307,000.00","844","1410 2 Street SW Unit#410","Calgary","1995","13","Eric Boyd","CBOYDER","","Arce Morales","CMORALAR1","","CAL Zone CC"
"1001","S","A2100454","Apartment","Panorama Hills","01/24/2024","$299,900.00","$306,000.00","889","60 Panatella Street NW Unit#1124","Calgary","2008","15","Christian Ortiz Plata","CORTIZCH","CORTIZAL","Alex Sazanovitch","CSAZANAL","CBAVOLAR","CAL Zone N"
"1001","S","A2102554","Apartment","Signal Hill","01/25/2024","$299,999.00","$305,000.00","807","1888 Signature Park SW Unit#2304","Calgary","2003","6","Stephanie Marinus","CMARINST","","Bill Brandsma","CBRANDBI","","CAL Zone W"
"1001","S","A2100514","Apartment","Citadel","01/21/2024","$299,900.00","$305,000.00","972","4000 Citadel Meadow Point NW Unit#222","Calgary","2003","12","George Costa","CCOSTAGE","","Noah Miller","CMILLENO","","CAL Zone NW"
"1001","S","A2096690","Apartment","Beltline","01/19/2024","$324,900.00","$305,000.00","1,247","1026 12 Avenue SW Unit#404","Calgary","1999","42","Tarek Hageahmad","CHAGEATA","CELHAGIB","Graeme McInnis","CMCINNGR","","CAL Zone CC"
"1001","S","A2094743","Apartment","Country Hills Village","01/12/2024","$314,900.00","$305,000.00","879","10 Country Village Park NE Unit#3118","Calgary","2011","48","Scott Thibeault","CTHIBESC","","Richard Chau","CCHAUVA","","CAL Zone N"
"1001","S","A2094601","Apartment","Beltline","01/04/2024","$300,000.00","$305,000.00","500","1122 3 Street SE Unit#810","Calgary","2015","39","Marc Stokes","CSTOKEMA","CWILDEBE","Michael Angelo Enciso","CENCISMI","","CAL Zone CC"
"1001","S","A2098048","Semi Detached (Half Duplex)","Penbrooke Meadows","01/17/2024","$299,900.00","$304,500.00","991","14 Penworth Close SE","Calgary","1976","33","Don Wong","CWONGDO1","","Hallie Johnson","CJOHNSHA1","","CAL Zone E"
"1001","S","A2101296","Apartment","Sage Hill","01/25/2024","$304,000.00","$304,000.00","796","4 Sage Hill Terrace NW Unit#112","Calgary","2015","13","James Bird","CBIRDJA","","Claire LeFebvre","CLEFEBCL","","CAL Zone N"
"1001","S","A2097191","Apartment","Sage Hill","01/18/2024","$309,000.00","$302,000.00","586","10 Sage Hill Walk NW Unit#208","Calgary","2021","41","Raymond Yang","CYANGZH1","CGUOHE","Caleb Chu","CCHUCA","","CAL Zone N"
"1001","S","A2099678","Apartment","Evergreen","01/18/2024","$299,900.00","$301,500.00","817","23 Everridge Square SW Unit#201","Calgary","2006","10","Greg Wiseman","CWISEMGR","","Smita Jawale","CJAWALSM","","CAL Zone S"
"1001","S","A2099356","Apartment","Skyview Ranch","01/22/2024","$304,000.00","$300,500.00","811","240 Skyview Ranch Road NE Unit#3409","Calgary","2015","17","Mason Cockx","CCOCKXMA","","Gary Saran","CSARANGU","","CAL Zone NE"
"1001","S","A2102292","Apartment","Brentwood","01/31/2024","$310,000.00","$300,000.00","519","10 Brentwood Common NW Unit#911","Calgary","2015","13","Alex Jens","CJENSAL","","Barry Chan","CCHANBA","","CAL Zone NW"
"1001","S","A2101153","Apartment","Shawnessy","01/29/2024","$308,888.00","$300,000.00","936","290 Shawville Way SE Unit#209","Calgary","2000","16","Michael Kneller","CKNELLMI","","Catherine Chow","CCHOWCA","","CAL Zone S"
"1001","S","A2100219","Apartment","Skyview Ranch","01/17/2024","$300,000.00","$300,000.00","835","155 Skyview Ranch Way NE Unit#5214","Calgary","2013","10","Kristin Mould","CMOULDKR","CLAPIDHA","Jamie Cheung","CCHEUNJA1","","CAL Zone NE"
